inpX inpY inpRad outpX outpY outpRad lnkUsg
121.48 44.41 11.5 -11.24 22.06 4.6 2
76.21 133.27 11.5 -25.45 -8.26 4.8 0
280.54 32.41 17.8 32.16 23.37 5.9 0
280.54 32.41 17.8 37.52 19.11 6.1 0
75.04 163.28 12.6 -29.43 -14.99 5.3 0
181.02 130.71 5.5 1.92 -3.77 2.9 1
168.77 175.38 8.7 4.78 -14.72 3.9 0
100.76 38.46 13.1 -15.73 21.65 4.8 0
143.31 103.31 5.5 -2.99 2.99 2.9 3
213.5 14.98 14.7 14.99 29.43 5.3 1
149.17 86.66 6.6 -1.13 7.16 3.2 1
191.14 215.85 13.1 10.88 -33.5 5.5 0
145.08 214.17 12.6 -4.5 -28.44 5 2
162.56 103.77 4.7 1.22 0.62 2.6 0
76.21 133.27 11.5 -29.43 -14.99 5.3 0
145.08 214.17 12.6 -5.16 -32.619 5.3 0
68.14 28.14 15.9 -26.49 26.49 5.7 1
116.71 204.95 12.6 -15.73 -21.65 4.8 0
102.37 101.27 9.1 -13.58 2.15 3.7 1
247.331 105.87 12 24.46 3.87 4.6 0
247.366 105.759 12 24.46 3.87 4.6 1
113.11 55.47 11 -17.51 17.51 4.6 0
107.08 47.16 12 -16.89 52 7.1 0
180.59 91.64 6.6 7.13 5.18 3.3 1
188.35 99.4 6.6 7.13 5.18 3.3 0
260.76 19.23 17.1 26.49 26.49 5.7 1
188.35 99.4 6.6 8.38 2.72 3.3 0
143.84 131.73 5.1 -5.13 -5.13 3.2 3
148.38 131.61 4.7 -3.36 -4.63 3 0
110.03 94.54 8.7 -14.72 4.78 3.9 0
174.63 112.54 4.7 1.36 0.21 2.6 0
174.63 112.54 4.7 2.65 0.86 2.8 0
84.41 158.51 11.5 -22.06 -11.24 4.6 0
176.22 122.56 4.7 1.22 0.62 2.6 0
185.98 128.44 5.8 6.46 -3.29 3.2 1
185.98 128.44 5.8 7.16 1.13 3.2 0
189.6 178.1 9.6 5.89 -18.12 4.2 1
79.98 230.13 16.5 -29.77 -29.77 6.1 0
110.03 145.45 8.7 -9.76 -7.09 3.6 0
80.24 119.99 11 -37 -5.86 5.7 0
134.63 154.91 7.4 -3.72 -11.47 3.6 0
79.98 230.13 16.5 -26.16 -36.01 6.3 0
65.239 168.28 13.6 -33.38 -17.01 5.7 0
93.47 98.38 10.1 -37 5.86 5.7 0
187.74 134.13 6.2 6.46 -3.29 3.2 1
157.79 117.79 3.4 1.22 0.62 2.6 0
174.13 92.25 6.2 7.13 5.18 3.3 1
